Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-05-20,2025,5,20,Tuesday,20,2025-20,633.44,636.77,629.71,634.53,6743500,-0.0051997576763647135,616.0535714285714,574.6962
2025-05-21,2025,5,21,Wednesday,20,2025-20,629.24,644.0,627.63,632.94,11464600,-0.0025114111987835086,620.5564285714287,575.3004
2025-05-22,2025,5,22,Thursday,20,2025-20,631.49,640.66,628.17,634.0,8228400,0.0016836968196258795,623.37,575.6502
2025-05-23,2025,5,23,Friday,20,2025-20,621.48,629.9,620.14,624.53,8454100,-0.014939497461275097,625.3471428571429,576.3862
2025-05-27,2025,5,27,Tuesday,21,2025-21,632.85,640.49,630.2,639.73,9508400,0.024335844267484363,629.2607142857142,577.0778
2025-05-28,2025,5,28,Wednesday,21,2025-21,640.01,648.25,639.96,640.98,9042900,0.0019617746838520578,632.5878571428573,577.8482
2025-05-29,2025,5,29,Thursday,21,2025-21,649.02,650.69,636.92,642.45,8858800,0.002284065493747489,635.9342857142857,579.097
2025-05-30,2025,5,30,Friday,21,2025-21,639.91,646.79,630.23,644.88,16241000,0.0037825833956797172,639.8471428571429,580.3606000000001
2025-06-02,2025,6,2,Monday,22,2025-22,641.79,670.54,641.66,668.19,15766300,0.036155139891479005,642.0857142857143,582.0516
2025-06-03,2025,6,3,Tuesday,22,2025-22,668.74,672.86,662.35,664.16,11585000,-0.006036796424890967,642.8557142857144,583.4578
2025-06-04,2025,6,4,Wednesday,22,2025-22,666.62,686.22,665.87,685.18,14031900,0.03164147200711653,644.89,584.8344000000001
2025-06-05,2025,6,5,Thursday,22,2025-22,688.87,691.58,679.5,681.86,13083100,-0.004840674457271432,647.7885714285715,585.996
2025-06-06,2025,6,6,Friday,22,2025-22,693.36,699.98,689.08,694.9,11728000,0.019120224240559036,651.87,587.7235999999999
2025-06-09,2025,6,9,Monday,23,2025-23,695.64,702.35,691.14,691.26,12773200,-0.0052314513863069845,655.6850000000001,589.5458
2025-06-10,2025,6,10,Tuesday,23,2025-23,698.52,700.39,688.77,699.57,10850100,0.012016300040545325,660.3307142857142,592.049
2025-06-11,2025,6,11,Wednesday,23,2025-23,700.87,706.01,689.2,691.34,9582500,-0.01175967840046177,664.5021428571428,594.395
2025-06-12,2025,6,12,Thursday,23,2025-23,690.5,692.58,684.23,690.56,7322700,-0.0011236945041203095,668.5421428571428,596.5333999999999
2025-06-13,2025,6,13,Friday,23,2025-23,685.18,691.77,678.26,680.12,9274400,-0.01512913778922298,672.5128571428571,598.5044
2025-06-16,2025,6,16,Monday,24,2025-24,697.05,704.84,691.24,699.83,13720300,0.028980832844238025,676.8057142857143,601.9114
2025-06-17,2025,6,17,Tuesday,24,2025-24,699.71,703.66,693.79,694.95,10066100,-0.00696470612039779,680.6607142857143,605.7565999999999
2025-06-18,2025,6,18,Wednesday,24,2025-24,695.9,699.3,692.63,693.5,10068300,-0.002093869391767922,684.3071428571429,609.3432
2025-06-20,2025,6,20,Friday,24,2025-24,698.46,699.53,676.45,680.12,22538600,-0.01928798294986489,686.8242857142857,612.7778
2025-06-23,2025,6,23,Monday,25,2025-25,681.46,696.77,676.53,696.25,11080100,0.02371216055566583,688.8285714285713,615.0346
2025-06-24,2025,6,24,Tuesday,25,2025-25,702.59,710.86,699.82,709.87,13823200,0.01956961349756936,692.0935714285714,618.3502000000001
2025-06-25,2025,6,25,Wednesday,25,2025-25,710.99,714.24,703.08,706.36,9320400,-0.004942408214906102,693.6064285714286,621.6498
2025-06-26,2025,6,26,Thursday,25,2025-25,712.03,725.84,708.73,723.72,13964800,0.024566835351205407,696.5964285714286,625.5373999999999
2025-06-27,2025,6,27,Friday,25,2025-25,724.15,733.03,723.49,731.23,18775700,0.01038440480523728,699.1914285714286,629.7736
2025-06-30,2025,6,30,Monday,26,2025-26,742.12,745.46,731.85,735.68,15402100,0.006079364782587193,702.3642857142858,634.4816
2025-07-01,2025,7,1,Tuesday,26,2025-26,734.47,735.34,713.03,716.87,13431200,-0.025566061983370303,703.6000000000001,638.8298
2025-07-02,2025,7,2,Wednesday,26,2025-26,712.99,717.95,710.47,711.24,9336700,-0.007855716439176708,705.0214285714286,643.4004
2025-07-03,2025,7,3,Thursday,26,2025-26,724.24,726.65,712.09,716.66,8601700,0.007623656797967948,706.8857142857144,647.7683999999999
2025-07-07,2025,7,7,Monday,27,2025-27,715.26,724.63,711.18,716.0,9457100,-0.0009180042269585353,709.4485714285714,651.725
2025-07-08,2025,7,8,Tuesday,27,2025-27,719.21,720.55,712.47,718.32,7770700,0.0032296487672787144,710.7692857142857,655.4714
2025-07-09,2025,7,9,Wednesday,27,2025-27,720.36,735.12,720.36,730.39,11418000,0.016803887267475837,713.3007142857142,659.178
2025-07-10,2025,7,10,Thursday,27,2025-27,729.16,733.4,717.25,724.86,9913600,-0.00756026312132374,715.5407142857142,662.7248
2025-07-11,2025,7,11,Friday,27,2025-27,720.14,722.79,707.38,715.17,10873900,-0.013379306605089014,718.0442857142858,665.9842
2025-07-14,2025,7,14,Monday,28,2025-28,715.26,725.62,714.21,718.56,8939400,0.004752382399978217,719.6378571428571,669.4196000000001
2025-07-15,2025,7,15,Tuesday,28,2025-28,721.54,722.1,707.5,708.07,11529500,-0.014606174858570076,719.5092857142856,672.183
2025-07-16,2025,7,16,Wednesday,28,2025-28,711.04,711.64,696.99,700.61,13067600,-0.010529602255252346,719.0985714285714,674.303
2025-07-17,2025,7,17,Thursday,28,2025-28,702.09,703.59,694.83,699.12,11803300,-0.0021339238220121626,717.3414285714287,676.3484
2025-07-18,2025,7,18,Friday,28,2025-28,699.9,702.41,689.39,701.98,12779800,0.004091804700725676,715.2521428571429,678.6892
